Area,July 2020,July 2021,July 2022,July 2023
COLORADO STATE,"5,784,970","5,811,121","5,840,234","5,876,300"
ADAMS COUNTY,"520,465","523,433","527,308","533,580"
ALAMOSA COUNTY,"16,372","16,574","16,576","16,648"
ARAPAHOE COUNTY,"655,260","656,768","656,191","655,760"
ARCHULETA COUNTY,"13,428","13,813","13,988","14,178"
BACA COUNTY,"3,478","3,491","3,430","3,374"
BENT COUNTY,"5,475","5,339","5,435","5,686"
BOULDER COUNTY,"330,944","327,096","327,372","326,663"
BROOMFIELD COUNTY,"74,499","75,419","76,164","76,853"
CHAFFEE COUNTY,"19,482","19,737","20,255","20,598"
CHEYENNE COUNTY,"1,745","1,717","1,727","1,719"
CLEAR CREEK COUNTY,"9,397","9,459","9,355","9,153"
CONEJOS COUNTY,"7,455","7,589","7,571","7,497"
COSTILLA COUNTY,"3,503","3,617","3,614","3,636"
CROWLEY COUNTY,"5,690","5,736","5,610","5,638"
CUSTER COUNTY,"4,721","5,062","5,337","5,546"
DELTA COUNTY,"31,054","31,390","31,571","31,778"
DENVER COUNTY,"717,597","711,408","713,255","715,636"
DOLORES COUNTY,"2,078","2,122","2,205","2,270"
DOUGLAS COUNTY,"360,300","369,787","375,958","383,911"
EAGLE COUNTY,"55,671","55,791","55,244","54,411"
ELBERT COUNTY,"26,222","27,150","27,820","28,795"
EL PASO COUNTY,"732,405","737,239","740,539","744,153"
FREMONT COUNTY,"48,883","49,241","49,576","50,359"
GARFIELD COUNTY,"61,794","62,098","62,282","62,722"
GILPIN COUNTY,"5,823","5,894","5,897","5,925"
GRAND COUNTY,"15,749","15,861","15,746","15,971"
GUNNISON COUNTY,"16,947","17,290","17,312","17,321"
HINSDALE COUNTY,792,778,779,772
HUERFANO COUNTY,"6,832","6,948","7,100","7,063"
JACKSON COUNTY,"1,377","1,358","1,313","1,311"
JEFFERSON COUNTY,"583,111","580,751","576,079","576,381"
KIOWA COUNTY,"1,454","1,453","1,428","1,376"
KIT CARSON COUNTY,"7,068","6,930","7,000","7,007"
LAKE COUNTY,"7,412","7,399","7,345","7,376"
LA PLATA COUNTY,"55,670","56,171","56,550","56,453"
LARIMER COUNTY,"359,943","362,791","367,702","370,639"
LAS ANIMAS COUNTY,"14,485","14,331","14,298","14,373"
LINCOLN COUNTY,"5,662","5,475","5,518","5,500"
LOGAN COUNTY,"21,199","20,990","20,799","20,607"
MESA COUNTY,"156,004","157,437","158,511","159,637"
MINERAL COUNTY,871,927,925,935
MOFFAT COUNTY,"13,266","13,161","13,164","13,317"
MONTEZUMA COUNTY,"25,889","26,250","26,474","26,563"
MONTROSE COUNTY,"42,814","43,237","43,801","44,167"
MORGAN COUNTY,"29,080","29,010","29,281","29,559"
OTERO COUNTY,"18,669","18,524","18,271","18,115"
OURAY COUNTY,"4,877","5,051","5,090","5,160"
PARK COUNTY,"17,418","17,737","17,902","18,101"
PHILLIPS COUNTY,"4,523","4,498","4,434","4,465"
PITKIN COUNTY,"17,356","17,338","16,842","16,642"
PROWERS COUNTY,"12,013","11,985","11,855","11,745"
PUEBLO COUNTY,"168,322","169,267","169,350","169,427"
RIO BLANCO COUNTY,"6,522","6,442","6,551","6,576"
RIO GRANDE COUNTY,"11,536","11,406","11,328","11,210"
ROUTT COUNTY,"24,836","25,065","25,087","25,064"
SAGUACHE COUNTY,"6,390","6,508","6,621","6,681"
SAN JUAN COUNTY,711,741,801,803
SAN MIGUEL COUNTY,"8,056","8,078","7,994","7,855"
SEDGWICK COUNTY,"2,391","2,330","2,296","2,313"
SUMMIT COUNTY,"31,000","30,999","30,629","30,441"
TELLER COUNTY,"24,746","24,949","24,849","24,631"
WASHINGTON COUNTY,"4,813","4,871","4,837","4,843"
WELD COUNTY,"331,447","339,883","350,175","359,530"
YUMA COUNTY,"9,978","9,931","9,917","9,881"